Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Norges Cup 2/Junior Cup 1 Normal-Points;Norges Cup 2/Junior Cup 1 Normal-Time;Norges Cup 2/Junior Cup 1 Normal-TimeFormatted;Norges Cup 2/Junior Cup 1 Normal-DiffTimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-Points;Norges Cup 2/Junior Cup 1 Sprint-Time;Norges Cup 2/Junior Cup 1 Sprint-TimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-DiffTimeFormatted;Norges Cup 5 Normal (NM for jr.)-Points;Norges Cup 5 Normal (NM for jr.)-Time;Norges Cup 5 Normal (NM for jr.)-TimeFormatted;Norges Cup 5 Normal (NM for jr.)-DiffTimeFormatted;Norges Cup 5 Sprint-Points;Norges Cup 5 Sprint-Time;Norges Cup 5 Sprint-TimeFormatted;Norges Cup 5 Sprint-DiffTimeFormatted;Norges Cup 4 Sprint-Points;Norges Cup 4 Sprint-Time;Norges Cup 4 Sprint-TimeFormatted;Norges Cup 4 Sprint-DiffTimeFormatted;NM Junior / NC 6 Senior  Fellesstart-Points;NM Junior / NC 6 Senior  Fellesstart-Time;NM Junior / NC 6 Senior  Fellesstart-TimeFormatted;NM Junior / NC 6 Senior  Fellesstart-DiffTimeFormatted;NM Junior / NC 6 Senior  Sprint-Points;NM Junior / NC 6 Senior  Sprint-Time;NM Junior / NC 6 Senior  Sprint-TimeFormatted;NM Junior / NC 6 Senior  Sprint-DiffTimeFormatted;Norges Cup finale junior og ungdom fellesstart-Points;Norges Cup finale junior og ungdom fellesstart-Time;Norges Cup finale junior og ungdom fellesstart-TimeFormatted;Norges Cup finale junior og ungdom fellesstart-DiffTimeFormatted;Norges Cup 4 Sprint Søndag-Points;Norges Cup 4 Sprint Søndag-Time;Norges Cup 4 Sprint Søndag-TimeFormatted;Norges Cup 4 Sprint Søndag-DiffTimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Points;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Time;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-TimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-DiffTimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Points;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Time;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-TimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-DiffTimeFormatted
1;Juni;Arnekleiv;0;f;Dombås IL;NO;Serie;K20-21;00:00:00.000;Mål;343.0;OK;1;0;9;527091;;343.0;15853720;4:24:13.72;0:00.000;0;544811;NOR;45.0;2505210;41:45.2;1:11.9;50.0;1444700;24:04.7;0:00.0;45.0;2197400;36:37.4;1:21.3;24.0;1290210;21:30.2;0:47.1;;;;;40.0;1870200;31:10.2;1:11.3;22.0;1407700;23:27.7;1:05.5;45.0;1858900;30:58;0:08;;;;;32.0;1933700;32:13;1:14;40.0;1345700;22:25;0:07
2;Hilde;Fosse;0;f;Voss Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;343.0;OK;2;0;9;581271;Team Glalaks;343.0;15953250;4:25:53.25;1:39.530;0;544811;NOR;40.0;2525810;42:05.8;1:32.5;32.0;1512800;25:12.8;1:08.1;29.0;2309800;38:29.8;3:13.7;50.0;1243140;20:43.1;0:00.0;;;;;45.0;1843500;30:43.5;0:44.6;21.0;1416300;23:36.3;1:14.1;36.0;1877100;31:17;0:27;;;;;45.0;1881800;31:21;0:22;45.0;1343000;22:23;0:05
3;Marit Ishol;Skogan;0;f;Steinkjer Skiklubb;NO;Serie;K20-21;00:00:00.000;Mål;341.0;OK;3;0;9;4084455;;341.0;15043000;4:10:43.00;13:30.720;0;544811;NOR;22.0;2743960;45:43.9;5:10.6;12.0;1637200;27:17.2;3:12.5;50.0;2116100;35:16.1;0:00.0;36.0;1267730;21:07.7;0:24.6;50.0;1585670;26:25.67;0:00.00;26.0;1905800;31:45.8;1:46.9;50.0;1342200;22:22.2;0:00.0;29.0;1924900;32:04;1:14;40.0;1556600;25:56.6;0:24.7;24.0;1976200;32:56;1:57;36.0;1367800;22:47;0:29
4;Mari;Wetterhus;0;f;Svene IL;NO;Serie;K20-21;00:00:00.000;Mål;312.0;OK;4;0;9;3133478;;312.0;16041300;4:27:21.30;3:07.580;0;544811;NOR;50.0;2433380;40:33.3;0:00.0;26.0;1514500;25:14.5;1:09.8;17.0;2418700;40:18.7;5:02.6;29.0;1281120;21:21.1;0:38.0;;;;;50.0;1798900;29:58.9;0:00.0;32.0;1388400;23:08.4;0:46.2;50.0;1850000;30:50;0:00;;;;;26.0;1970600;32:50;1:51;32.0;1385700;23:05;0:47
5;Randi Sollid;Nordvang;0;f;Vingelen IL;NO;Serie;K20-21;00:00:00.000;Mål;284.0;OK;5;0;8;4524593;Team Maxim;284.0;13857460;3:50:57.46;Mangler 1;0;544811;NOR;36.0;2584610;43:04.6;2:31.3;45.0;1488700;24:48.7;0:44.0;;;;;32.0;1277550;21:17.5;0:34.4;;;;;29.0;1890300;31:30.3;1:31.4;36.0;1376700;22:56.7;0:34.5;40.0;1862600;31:02;0:12;;;;;16.0;2038700;33:58;2:59;50.0;1338300;22:18;0:00
6;Marthe Kråkstad;Johansen;0;f;Bossmo & Ytteren IL;NO;Serie;K20-21;00:00:00.000;Mål;276.0;OK;6;0;9;694468;;276.0;16284340;4:31:24.34;7:10.620;0;544811;NOR;32.0;2645230;44:05.2;3:31.9;40.0;1496900;24:56.9;0:52.2;32.0;2302400;38:22.4;3:06.3;14.0;1353310;22:33.3;1:50.2;;;;;18.0;1946300;32:26.3;2:27.4;29.0;1389500;23:09.5;0:47.3;32.0;1901200;31:41;0:51;;;;;50.0;1859000;30:59;0:00;29.0;1390500;23:10;0:52
7;Vilde Aurora Gusevik;Skotland;0;f;Try, Idrettslaget;NO;Serie;K20-21;00:00:00.000;Mål;276.0;OK;7;0;9;1428541;Holmenkollen Biathlon;276.0;16196790;4:29:56.79;5:43.070;0;544811;NOR;26.0;2717630;45:17.6;4:44.3;0.0;0;0:00.0;24:04.7;36.0;2262300;37:42.3;2:26.2;45.0;1248880;20:48.8;0:05.7;36.0;1662140;27:42.14;1:16.47;32.0;1884200;31:24.2;1:25.3;26.0;1396700;23:16.7;0:54.5;;;;;32.0;1621540;27:01.5;1:29.6;22.0;1988400;33:08;2:09;21.0;1415000;23:35;1:17
8;Guri;Sandvold;0;f;Tynset IF;NO;Serie;K20-21;00:00:00.000;Mål;258.0;OK;8;0;9;694442;Team Toyota Slettum Bil;258.0;16492920;4:34:52.92;10:39.200;0;544811;NOR;24.0;2718410;45:18.4;4:45.1;8.0;1670300;27:50.3;3:45.6;40.0;2253400;37:33.4;2:17.3;26.0;1284120;21:24.1;0:41.0;13.0;1799430;29:59.43;3:33.76;21.0;1932100;32:12.1;2:13.2;45.0;1365500;22:45.5;0:23.3;26.0;1925400;32:05;1:15;21.0;1676990;27:56.9;2:25.0;29.0;1940000;32:20;1:21;26.0;1397000;23:17;0:59
9;Marit;Øygard;0;f;Skrautvål IL;NO;Serie;K20-21;00:00:00.000;Mål;221.0;OK;9;0;9;4004185;;221.0;16749700;4:39:09.70;14:55.980;0;544811;NOR;18.0;2768840;46:08.8;5:35.5;9.0;1663400;27:43.4;3:38.7;26.0;2314000;38:34.0;3:17.9;19.0;1311830;21:51.8;1:08.7;29.0;1677730;27:57.73;1:32.06;36.0;1879800;31:19.8;1:20.9;18.0;1437000;23:57.0;1:34.8;20.0;2033500;33:53;3:03;7.0;1818710;30:18.7;4:46.8;36.0;1898000;31:38;0:39;19.0;1429000;23:49;1:31
10;Kjersti Kvistad;Dengerud;0;f;Steinkjer Skiklubb;NO;Serie;K20-21;00:00:00.000;Mål;209.0;OK;10;0;9;941171;Team Maxim;209.0;16056570;4:27:36.57;3:22.850;0;544811;NOR;10.0;2838960;47:18.9;6:45.6;18.0;1618600;26:58.6;2:53.9;15.0;2424000;40:24.0;5:07.9;6.0;1387450;23:07.4;2:24.3;40.0;1653690;27:33.69;1:08.02;19.0;1936800;32:16.8;2:17.9;19.0;1425500;23:45.5;1:23.3;22.0;1983300;33:03;2:13;19.0;1684480;28:04.4;2:32.5;40.0;1890400;31:30;0:31;17.0;1439800;23:59;1:41
