Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Points;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Time;Lerøy Cup Senior 2/Junior Cup 1 Sprint-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Sprint-DiffTimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-Points;Lerøy Cup Senior 2/Junior Cup 1 Normal-Time;Lerøy Cup Senior 2/Junior Cup 1 Normal-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-DiffTimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-Points;Lerøy Cup Senior 3/Junior 2 Fellesstart-Time;Lerøy Cup Senior 3/Junior 2 Fellesstart-TimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-DiffTimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-Points;Lerøy Cup Senior 3/ Junior 2 Sprint-Time;Lerøy Cup Senior 3/ Junior 2 Sprint-TimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-DiffTimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Points;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Time;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-TimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-DiffTimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Points;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Time;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-TimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-DiffTimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted
1;Marthe Kråkstad;Johansen;0;f;Bossmo & Ytteren IL;NO;Serie;K20-22;00:00:00.000;Mål;290.0;OK;1;0;7;694468;;290.0;13010980;3:36:50.9;0:00.000;0;623699;NOR;36.0;1398200;23:18.2;0:15.1;45.0;2585570;43:05.5;0:20.3;45.0;1966210;32:46.2;0:34.7;;;;;;;;;;;;;50.0;2383300;39:43.3;0:00.0;40.0;1334300;22:14.3;0:14.2;50.0;1863400;31:03.4;0:00.0;24.0;1480000;24:40.0;0:46.6
2;Juni;Arnekleiv;0;f;Dombås IL;NO;Serie;K20-22;00:00:00.000;Mål;265.0;OK;2;0;8;527091;;265.0;14771590;4:06:11.5;Mangler -1;0;623699;NOR;40.0;1389200;23:09.2;0:06.1;50.0;2565290;42:45.2;0:00.0;19.0;2067930;34:27.9;2:16.4;50.0;1224770;20:24.7;0:00.0;;;;;;;;;21.0;2686300;44:46.3;5:03.0;24.0;1405300;23:25.3;1:25.2;45.0;1901500;31:41.5;0:38.1;16.0;1531300;25:31.3;1:37.9
3;Anne Bunemann;De Besche;0;f;Try, Idrettslaget;NO;Serie;K20-22;00:00:00.000;Mål;265.0;OK;3;0;8;4118391;Wang Toppidrett;265.0;14733580;4:05:33.5;Mangler -1;0;623699;NOR;26.0;1435700;23:55.7;0:52.6;24.0;2727790;45:27.7;2:42.5;24.0;2025010;33:45.0;1:33.5;45.0;1250680;20:50.6;0:25.9;;;;;;;;;32.0;2577900;42:57.9;3:14.6;45.0;1333900;22:13.9;0:13.8;40.0;1913200;31:53.2;0:49.8;29.0;1469400;24:29.4;0:36.0
4;Vilde Aurora Gusevik;Skotland;0;f;Try, Idrettslaget;NO;Serie;K20-22;00:00:00.000;Mål;255.0;OK;4;0;8;1428541;Holmenkollen Biathlon;255.0;14090390;3:54:50.3;Mangler -1;0;623699;NOR;17.0;1475000;24:35.0;1:31.9;36.0;2621590;43:41.5;0:56.3;20.0;2061920;34:21.9;2:10.4;26.0;1307280;21:47.2;1:22.5;40.0;1393300;23:13.3;0:25.3;45.0;1874000;31:14.0;0:19.5;0.0;2568800;42:48.8;3:05.5;20.0;1431600;23:51.6;1:51.5;36.0;1933100;32:13.1;1:09.7;32.0;1467600;24:27.6;0:34.2
5;Guri;Sandvold;0;f;Tynset IF;NO;Serie;K20-22;00:00:00.000;Mål;248.0;OK;5;0;8;694442;Trondheim Biathlon Team;248.0;14146370;3:55:46.3;Mangler -1;0;623699;NOR;29.0;1428400;23:48.4;0:45.3;17.0;2785820;46:25.8;3:40.6;50.0;1931500;32:11.5;0:00.0;20.0;1327550;22:07.5;1:42.8;50.0;1368000;22:48.0;0:00.0;29.0;1953200;32:33.2;1:38.7;16.0;2725900;45:25.9;5:42.6;29.0;1370600;22:50.6;0:50.5;24.0;1981300;33:01.3;1:57.9;14.0;1541300;25:41.3;1:47.9
6;Åsne;Skrede;0;f;Geilo IL;NO;Serie;K20-22;00:00:00.000;Mål;248.0;OK;6;0;6;677696;;248.0;11077150;3:04:37.1;Mangler 1;0;623699;NOR;45.0;1384900;23:04.9;0:01.8;32.0;2664590;44:24.5;1:39.3;40.0;1978420;32:58.4;0:46.9;36.0;1273240;21:13.2;0:48.5;;;;;;;;;45.0;2455900;40:55.9;1:12.6;50.0;1320100;22:00.1;0:00.0;;;;;;;;
7;Marte Carlson;Møller;0;f;Trysilgutten IL;NO;Serie;K20-22;00:00:00.000;Mål;223.0;OK;7;0;8;4150504;;223.0;13701890;3:48:21.8;Mangler -1;0;623699;NOR;16.0;1485500;24:45.5;1:42.4;19.0;2760450;46:00.4;3:15.2;0.0;2257910;37:37.9;5:26.4;24.0;1311740;21:51.7;1:27.0;45.0;1389100;23:09.1;0:21.1;32.0;1949900;32:29.9;1:35.4;15.0;2732900;45:32.9;5:49.6;36.0;1360900;22:40.9;0:40.8;32.0;1938500;32:18.5;1:15.1;19.0;1505800;25:05.8;1:12.4
8;Marit Ishol;Skogan;0;f;Steinkjer Skiklubb;NO;Serie;K20-22;00:00:00.000;Mål;215.0;OK;8;0;8;4084455;;215.0;14677920;4:04:37.9;Mangler -1;0;623699;NOR;32.0;1422400;23:42.4;0:39.3;11.0;2971220;49:31.2;6:46.0;2.0;2208710;36:48.7;4:37.2;32.0;1291590;21:31.5;1:06.8;36.0;1413200;23:33.2;0:45.2;40.0;1922300;32:02.3;1:07.8;0.0;0;0:00.0;39:43.3;;;;;22.0;1994000;33:14.0;2:10.6;40.0;1454500;24:14.5;0:21.1
9;Andrine Øverland;Hatling;0;f;Fana IL;NO;Serie;K20-22;00:00:00.000;Mål;213.0;OK;9;0;8;694440;;213.0;14221200;3:57:01.2;Mangler -1;0;623699;NOR;2.0;1557800;25:57.8;2:54.7;0.0;3096960;51:36.9;8:51.7;9.0;2157160;35:57.1;3:45.6;29.0;1295840;21:35.8;1:11.1;20.0;1445900;24:05.9;1:17.9;50.0;1854500;30:54.5;0:00.0;24.0;2676300;44:36.3;4:53.0;26.0;1374100;22:54.1;0:54.0;29.0;1945300;32:25.3;1:21.9;26.0;1472100;24:32.1;0:38.7
10;Randi Sollid;Nordvang;0;f;Vingelen IL;NO;Serie;K20-22;00:00:00.000;Mål;212.0;OK;10;0;8;4524593;Team Mesterbakeren;212.0;13732010;3:48:52.0;Mangler -1;0;623699;NOR;22.0;1449000;24:09.0;1:05.9;9.0;2974090;49:34.0;6:48.8;32.0;1996670;33:16.6;1:05.1;21.0;1324140;22:04.1;1:39.4;21.0;1441100;24:01.1;1:13.1;20.0;2016600;33:36.6;2:42.1;19.0;2699600;44:59.6;5:16.3;32.0;1369600;22:49.6;0:49.5;12.0;2039700;33:59.7;2:56.3;45.0;1435300;23:55.3;0:01.9
11;Mari;Wetterhus;0;f;Svene IL;NO;Serie;K20-22;00:00:00.000;Mål;202.0;OK;11;0;8;3133478;Team Maxim;202.0;14992820;4:09:52.8;Mangler -1;0;623699;NOR;10.0;1516100;25:16.1;2:13.0;29.0;2676010;44:36.0;1:50.8;36.0;1991810;33:11.8;1:00.3;40.0;1269000;21:09.0;0:44.3;;;;;;;;;36.0;2571200;42:51.2;3:07.9;21.0;1415400;23:35.4;1:35.3;10.0;2057700;34:17.7;3:14.3;20.0;1495600;24:55.6;1:02.2
12;Kristina Hipolan;Bergmann;0;f;Drangedal Idrettslag - Skiskyting;NO;Serie;K20-22;00:00:00.000;Mål;198.0;OK;12;0;8;3545375;Sirdal Ski;198.0;15819090;4:23:39.0;Mangler -1;0;623699;NOR;3.0;1555600;25:55.6;2:52.5;15.0;2867980;47:47.9;5:02.7;16.0;2091810;34:51.8;2:40.3;19.0;1338900;22:18.9;1:54.2;29.0;1417100;23:37.1;0:49.1;26.0;1993100;33:13.1;2:18.6;17.0;2717400;45:17.4;5:34.1;2.0;1547000;25:47.0;3:46.9;26.0;1959400;32:39.4;1:36.0;50.0;1433400;23:53.4;0:00.0
13;Kjersti Kvistad;Dengerud;0;f;Steinkjer Skiklubb;NO;Serie;K20-22;00:00:00.000;Mål;182.0;OK;13;0;8;941171;Team Maxim;182.0;15127460;4:12:07.4;Mangler -1;0;623699;NOR;11.0;1513700;25:13.7;2:10.6;21.0;2739460;45:39.4;2:54.2;7.0;2163160;36:03.1;3:51.6;7.0;1390420;23:10.4;2:45.7;17.0;1467500;24:27.5;1:39.5;21.0;2011900;33:31.9;2:37.4;40.0;2465800;41:05.8;1:22.5;16.0;1467300;24:27.3;2:27.2;20.0;2000900;33:20.9;2:17.5;36.0;1460900;24:20.9;0:27.5
14;Tora Eid;Løvås;0;f;Trondhjems Skiskyttere;NO;Serie;K20-22;00:00:00.000;Mål;175.0;OK;14;0;8;461528;Trondheim Biathlon Team;175.0;15759280;4:22:39.2;Mangler -1;0;623699;NOR;19.0;1464800;24:24.8;1:21.7;18.0;2768040;46:08.0;3:22.8;18.0;2075340;34:35.3;2:23.8;0.0;1458700;24:18.7;3:54.0;32.0;1413300;23:33.3;0:45.3;22.0;2010400;33:30.4;2:35.9;29.0;2582000;43:02.0;3:18.7;18.0;1441000;24:01.0;2:00.9;19.0;2004400;33:24.4;2:21.0;11.0;1554700;25:54.7;2:01.3
